BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
4C:38:73:F2:2F:DE,,Google,,-127,0
7B:1B:E4:D6:BF:32,,Apple,-92,-127,10
73:A9:8B:B4:06:D9,,Microsoft,-64,-127,10
18:E3:AC:81:00:3A,,,,-127,0
39:BA:35:31:AA:0C,,Microsoft,-85,-127,10
69:A3:88:E0:B1:73,,,-93,-127,10
CA:BB:13:53:23:04,,Apple,-91,-127,10
55:E6:10:DF:E1:A5,,Apple,-85,12,10
A4:C1:38:1D:A2:F5,LYWSD03MMC,Telink Semiconductor (Taipei) Co. Ltd.,-87,-127,10
43:D7:84:51:A4:48,,Apple,-80,12,10
28:B2:EB:89:FE:7F,,Microsoft,-93,-127,10
CB:E1:23:32:BD:A3,,Apple,-93,-127,10
E0:6F:CF:FB:A3:92,,Apple,-83,-127,10
5F:24:67:D6:5A:AD,,Apple,-83,12,10
7F:CB:FD:7F:63:AB,,Apple,,-127,0
05:B4:1D:C7:70:3B,,,-90,-127,10
1C:4C:56:94:4D:77,,Microsoft,-91,-127,10
DF:80:79:DD:A3:EE,,Apple,-89,-127,10
2C:61:84:B0:A8:DB,,,,-127,0
65:75:3B:BA:59:BE,,Apple,-92,12,10
6C:9B:FA:CB:0C:64,,Apple,-93,-127,10
46:98:3D:63:59:23,,Apple,-80,12,10
42:F9:B0:C4:09:E3,,Apple,-88,12,10
57:09:62:94:18:9A,,Microsoft,-91,-127,10
76:14:D0:76:70:F9,,,-93,-127,10
EB:52:FE:B0:C5:53,,Apple,,-127,0
C9:AD:A0:0F:62:74,,Apple,-92,-127,10
2C:18:68:BF:1F:E2,,Microsoft,-89,-127,10
5B:30:9A:95:0C:B1,,Apple,-82,-127,10
6C:61:B7:19:DA:F7,,Apple,,-127,0
7E:09:D3:5D:D4:A1,,Apple,-88,-127,10
78:C7:30:19:5C:54,,Apple,-95,12,10
59:00:A7:96:7E:A2,,Apple,-86,9,10
04:26:04:0C:2E:33,,Microsoft,,-127,0
50:F5:B5:7F:1B:02,,Microsoft,-44,-127,10
FA:47:E5:87:4D:A5,V874da5,Apple,-94,0,10
69:D5:CA:40:DA:F1,,Google,-88,-127,10
5B:12:F5:2C:A9:73,,Google,-69,-127,10
63:96:22:C1:CB:E1,,Apple,-93,12,10
