IP Addresses,MAC Addresses,Manufacturers,Trusted,Alias,DNS Names,NetBios Names,SSDP Manufacturers,SSDP Models,SSDP Names,SSDP UDNs,SNMP Names,mDNS Services,HTTP Servers,Ping (AVG)
172.31.0.22,08:00:27:d6:ea:1e,PCS Systemtechnik GmbH,false,,,DESKTOP-NDABFST,,,,,,,,
172.31.0.30,08:00:27:91:38:da,PCS Systemtechnik GmbH,false,,,,,,,,,,,
172.31.0.41,68:05:ca:17:45:9b,Intel Corporate,false,,,SYMFONIA,,,,,,,,
172.31.0.49,24:5e:be:61:01:2c,"QNAP Systems, Inc.",false,,,NAS-ZAWOJA,,,,,,"_workstation._tcp (port 9, name: NAS-ZAWOJA)",,
172.31.0.81,20:47:47:84:32:a2,Dell Inc.,false,,,WIN-5U1176CS0GH,,,,,,,,
172.31.0.83,58:ce:2a:b8:74:c3,Intel Corporate,false,,,HANDLOWY_1,,,,,,,,
172.31.0.103,00:0b:82:9a:6b:cb,"Grandstream Networks, Inc.",false,,,,,,,,,,Loading Web Application (mini_httpd/1.30 26Oct2018),
172.31.0.105,00:0b:82:9a:6b:d6,"Grandstream Networks, Inc.",false,,,,,,,,,,Loading Web Application (mini_httpd/1.30 26Oct2018),
172.31.1.1,,,false,,,,,,,,,,,
172.31.1.2,60:e3:27:50:db:5b,"TP-LINK TECHNOLOGIES CO.,LTD.",false,,,,,,,,,,Loading... (Web Switch),
172.31.1.3,,,false,,,,,,,,,,,
172.31.1.4,c8:15:4e:3b:53:30,Intel Corporate,false,,,,,,,,,,,
172.31.1.6,,,false,,,,,,,,,,,
172.31.1.7,,motorola,false,,,,motorola,moto g(50),,4f1a6cd2-05da-4c01-9ee5-3b5061fe2a37,,,,
172.31.1.8,,,false,,,,,,,,,,,
172.31.1.10,,,false,,,,,,,,,,,
172.31.1.14,,,false,,,,,,,,,,,
172.31.1.17,,,false,,,,,,,,,,,
172.31.1.18,cc:08:fa:a7:e7:78,"Apple, Inc.",false,,,MAC-A7E778,,,,,,,,
172.31.1.20,"[""00:08:9b:cb:50:bd"",""00:08:9b:cb:50:bc""]",ICP Electronics Inc.,false,,,NAS-IPC,,,,,,,400 Bad Request (Apache),
172.31.1.28,6c:2b:59:c9:57:5f,Dell Inc.,false,,,B214YY2,,,,,,,,
172.31.1.31,0c:8b:fd:68:f7:77,Intel Corporate,false,,,,,,,,,,,
172.31.1.109,a0:dd:e5:fc:dd:67,SHARP Corporation,false,,,,,,,,SHARP MX-4100N,,,
172.31.1.121,8c:55:4a:24:17:6f,Intel Corporate,false,,,DESKTOP-3VL2LS5,,,,,,,,
172.31.1.126,c8:21:58:b7:10:83,Intel Corporate,false,,,,,,,,,,,
172.31.1.220,fc:b6:9d:0c:5c:21,"Zhejiang Dahua Technology Co., Ltd.",false,,,,,,,,,,,
172.31.1.254,,,false,,lms.local,,,,,,,,400 Bad Request (Apache/2.4.59 (Debian)),
172.31.3.101,18:fd:74:db:b1:c5,Routerboard.com,false,,,,,,,,,,,
192.168.1.1,,,false,,,,,,,,,,,1.121042
