BSSID,AP Name (from app),AP Location (from app),Notes (from app),AP Name (from AP),SSID,Seen,Manufacturer,Device,Channel width maximum (MHz),Phy speed maximum (Mbps),Phy technologies,Basic rates,Additional rates,Supported HT MCS,Supported VHT MCS,Supported HE MCS,Supported EHT MCS,SU-MIMO,MU-MIMO,Security,Capabilities,BSS Transition (802.11v),FT (802.11r) Responder,FT (802.11r) over the DS,RM (802.11k),MFP (802.11w) Required,MFP (802.11w) Capable,FTM (802.11mc) Responder,FTM (802.11mc) Initiator,MLO (802.11be) AP MLD,Frequency band,Channel width (MHz),Frequency from (MHz),Frequency to (MHz),Frequency primary (MHz),Primary channel,Channels used,rssi (dBm),Reported channel utilization (%),Reported stations
9c:53:22:8d:82:56,,,,,Weteranów_7,1718090387743,TP-Link,Whole-home Wi-Fi,40,300,"[""N300"",""g54"",""b11""]","[1,2,5.5,11]","[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA2-Personal,[RSN-PSK-CCMP][ESS][WPS],true,,,true,,,,,,2.4GHz,40,,,2447,8,,-92,,
be:ff:4d:37:f1:4c,,,,,W-21WA174,1718090387742,,,,54,b11,"[5.5,11,1,2]","[6,12,24,48,54,9,18,36]",,,,,,,WPA/WPA2-Personal,[RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],,,,,,,,,,2.4GHz,20,,,2462,11,,-87,,
06:18:0a:21:f4:7c,,,,,,1718090387743,,,20,144.4,"[""N144"",""g54"",""b11""]","[1,2,5.5,11]","[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,No Security,[ESS],true,,,true,,,,,,2.4GHz,20,,,2412,1,,-86,7.5,0
44:ad:b1:bf:53:e9,,,,,FunBox2-53E9,1718090387743,Sagemcom,,20,144.4,"[""N144"",""g54"",""b11""]","[1,2,5.5,11]","[18,24,36,54,6,9,12,48]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA/WPA2-Personal,[RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],,,,,,,,,,2.4GHz,20,,,2462,11,,-86,,
26:a1:60:31:0d:98,,,,,W-18KA578,1718090387742,,,,54,b11,"[5.5,11,1,2]","[6,12,24,48,54,9,18,36]",,,,,,,WPA/WPA2-Personal,[RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],,,,,,,,,,2.4GHz,20,,,2462,11,,-84,,
86:2a:a8:d7:6b:bc,,,,,,1718090387742,,,20,216.7,"[""N217"",""g54"",""b11""]","[1,2,5.5,11,6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]",,,,3x3,,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,,,,,,,,,2.4GHz,20,,,2437,6,,-85,9.8,0
18:e8:29:6a:27:a7,,,,,AkselWiFi,1718090387743,Ubiquiti Inc,,20,216.7,"[""N217"",""g54"",""b11""]","[1,2,5.5,11,6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]",,,,3x3,,WPA2-Personal,[RSN-PSK-CCMP][ESS],,,,,,true,,,,2.4GHz,20,,,2437,6,,-73,6.3,14
60:a4:b7:f0:19:a6,,,,,,1718090387743,TP-Link Corporation Limited,,40,300,"[""N300"",""g54"",""b11""]","[1,2,5.5,11]","[9,18,36,54,6,12,24,48]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,32]",,,,2x2,,WPA/WPA2-Personal,[WPA-PSK-CCMP][RSN-PSK-CCMP][ESS],,,,,,,,,,2.4GHz,40,,,2452,9,,-71,0,0
18:fd:74:db:b1:c9,,,,18FD74DBB1C9,IPC_24_Biuro,1718090387743,Mikrotik,WiFi w Firmie,40,300,"[""N300"",""g54"",""b11""]",6,"[1,2,5.5,11,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA/WPA2-Personal,[RSN-PSK-CCMP][WPA-PSK-CCMP][ESS][WPS],,,,,,,,,,2.4GHz,40,,,2417,2,,-39,,
80:2a:a8:d7:6b:bc,,,,,AkselWiFi,1718090381975,Ubiquiti Inc,,20,216.7,"[""N217"",""g54"",""b11""]","[1,2,5.5,11,6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]",,,,3x3,,WPA2-Personal,[RSN-PSK-CCMP][ESS],,,,,,true,,,,2.4GHz,20,,,2437,6,,-85,7.1,21
50:0f:f5:11:e8:81,,,,,Kreyczi,1718090381975,"Tenda Technology Co.,Ltd.Dongguan branch",,40,300,"[""N300"",""g54"",""b11""]","[1,2,5.5,11]","[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA/WPA2-Personal,[RSN-PSK-CCMP][WPA-PSK-CCMP][ESS],,,,,,,,,,2.4GHz,40,,,2427,4,,-85,,
1e:e8:29:6a:27:a7,,,,,,1718090381975,,,20,216.7,"[""N217"",""g54"",""b11""]","[1,2,5.5,11,6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]",,,,3x3,,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,,,,,,,,,2.4GHz,20,,,2437,6,,-71,6.3,0
