BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
"[""A4:C1:38:97:91:16"",""A4:C1:38:1D:A2:F5""]",LYWSD03MMC,Telink Semiconductor (Taipei) Co. Ltd.,-90,-127,10
3D:3B:E2:46:AC:CB,,Microsoft,-74,-127,10
D1:F6:1A:66:F6:7D,TY,Hangzhou Tuya Information Technology,-75,-127,10
5F:C6:A9:E2:83:F2,,,-88,-127,10
CF:A9:80:BD:EB:CA,,Sony Corporation,-85,-12,10
25:FA:65:7A:D1:92,,,-94,-127,10
18:CA:47:AA:5C:C7,,Microsoft,-98,-127,10
"[""A4:C1:38:97:91:16"",""A4:C1:38:1D:A2:F5""]",LYWSD03MMC,Telink Semiconductor (Taipei) Co. Ltd.,-90,-127,10
65:D7:C4:BE:58:6C,,Google,-93,-127,10
28:6F:40:AB:6C:5D,WH-CH720N,"[""Tonly Technology Co. Ltd "",""Amazon.com Services""]",-84,-127,10
