BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
7B:68:03:10:6A:52,,Apple,-90,-127,10
71:11:4C:D7:8D:44,,Microsoft,-97,-127,10
58:FF:28:32:02:B2,,Apple,,-127,0
37:B7:D2:A2:FF:DB,,,-95,-127,10
23:EF:8F:2C:92:A2,,Microsoft,-96,-127,10
24:59:E5:49:F2:8B,net,GD Midea AirConditioning Equipment,-99,-127,10
50:EF:47:96:C7:C5,,Apple,,-127,0
F8:CC:77:D6:C2:EE,,Apple,-100,-127,10
6C:56:75:AB:7D:40,,Apple,-95,-127,10
6C:A0:D0:F0:20:9C,,Apple,-96,7,10
C1:13:8D:F3:9A:74,,Apple,-83,-127,10
D9:58:1B:13:6B:71,,Apple,-97,-127,10
38:2B:2E:71:8C:D6,,,-94,-127,10
5F:99:A7:D9:AA:7D,,Apple,-94,11,10
7B:DC:D0:17:2A:02,,Microsoft,-94,-127,10
FF:5B:23:30:07:BF,,Apple,,-127,0
5D:6C:2E:A1:AF:5C,,Apple,-98,12,10
EF:CA:D6:CF:A3:96,,Apple,-91,-127,10
61:DD:1C:44:5E:23,,Apple,,-127,0
6C:F9:F5:1B:F1:57,,Apple,-96,11,10
4B:4B:94:79:0F:36,,Apple,-92,-127,10
43:E4:86:17:FE:1F,,Apple,-102,-127,10
77:69:40:FB:31:AD,,Apple,-100,12,10
0B:9F:47:91:9B:9B,,Microsoft,-98,-127,10
45:28:9C:CF:01:1B,,Apple,,-127,0
"[""DC:0D:30:01:F1:F2"",""DC:0D:30:09:B7:FE""]",FSC-BP101,"[""Google"",""Apple""]",-95,-127,10
65:C9:82:EF:8A:C1,,Samsung Electronics,-95,-127,10
54:DB:E5:2D:B3:14,,Apple,-96,12,10
73:53:71:EB:E0:2F,,Microsoft,-93,-127,10
61:C4:8F:68:0F:14,,Microsoft,-100,-127,10
C5:04:73:E2:51:2C,,Apple,-94,-127,10
42:75:86:F1:83:33,,Apple,-94,12,10
"[""DC:0D:30:01:F1:F2"",""DC:0D:30:09:B7:FE""]",FSC-BP101,"[""Google"",""Apple""]",-95,-127,10
78:02:B7:3A:36:C5,Haylou Solar,,-94,-127,10
BE:0F:F3:95:E4:7F,,HP,,-127,0
FA:59:AE:96:F1:90,,Apple,-98,-127,10
65:F0:7B:14:93:07,,Apple,,-127,0
F8:89:9E:47:E1:DF,,Apple,,-127,0
ED:CD:7F:A6:DE:C7,,Apple,-88,-127,10
24:FC:E5:9B:F1:3F,,Samsung Electronics,-79,-127,10
75:C7:FC:42:A8:1E,,Apple,-94,12,10
52:02:2C:49:B1:A5,,Apple,-100,12,10
