BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
79:E3:C1:B6:23:90,,Apple,-80,11,10
2C:C4:92:EB:BB:DB,,,-96,-127,10
E7:E6:98:42:98:94,,Apple,-70,-127,10
5B:36:01:25:70:40,,,-93,-127,10
58:44:BE:E0:30:14,,Apple,-92,-127,10
EE:6D:DC:FB:C9:8F,,Apple,-78,-127,10
6D:E9:35:F6:64:8B,,Apple,-92,12,10
43:A6:59:5C:46:45,,Apple,-82,12,10
54:61:46:04:12:4C,,Apple,-100,-127,10
78:85:EB:1A:E4:AC,,Microsoft,-92,-127,10
50:36:C0:E4:D6:C8,,Apple,-77,12,10
48:E6:95:13:DC:2E,,"[""Apple"",""eBest IOT""]",,-127,0
