BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
54:44:A3:58:DA:27,,Samsung Electronics,,-127,0
BC:10:2F:FB:AE:AD,Refrigerato,Samsung Electronics,,-127,0
DA:94:3A:D4:25:6B,,Apple,,-127,0
DA:46:D0:E2:93:FB,,Apple,,-127,0
44:5C:E9:B1:05:B3,,Samsung Electronics,-96,-127,10
10:30:79:27:A7:4F,,Microsoft,,-127,0
1D:64:EE:95:0F:AC,,,-83,-127,10
C3:80:62:8B:39:36,,Apple,-68,-127,10
72:AD:5D:DC:41:50,,Apple,-58,11,10
C3:41:00:3A:09:7A,,Apple,-100,-127,10
64:2B:8F:05:65:BC,,Apple,-85,8,10
7C:F0:B9:15:18:6E,,Apple,,-127,0
7C:90:1F:FF:6C:87,FWA-EC4FB2,Texas Instruments,,-127,0
72:98:19:D0:CF:FC,,Apple,-57,-127,10
FB:04:D3:93:A6:0F,,Apple,,-127,0
8C:79:F5:01:AF:B1,[TV] Samsung Q60 Series (65),Samsung Electronics,,-127,0
15:96:F7:FA:8C:8B,,Apple,-97,-127,10
CC:B1:B5:A9:A7:8D,,Apple,,-127,0
69:9C:D7:23:F5:3F,,Apple,-93,12,10
C4:1A:CC:99:05:1D,,Apple,,-127,0
04:81:B0:96:76:01,,Microsoft,,-127,0
