Channel #,Signals,Signals (802.11a),Signals (802.11b),Signals (802.11g),Signals (802.11n),Signals (802.11ac),Signals (802.11ax),Signals (802.11be),Strongest signal (dBm),Strongest signal SSID,Strongest signal BSSID,Beacons,Beacons (802.11a),Beacons (802.11b),Beacons (802.11g),Beacons (802.11n),Beacons (802.11ac),Beacons (802.11ax),Beacons (802.11be),Strongest beacon (dBm),Strongest beacon SSID,Strongest beacon BSSID,Secondary (non beacon) signals,Secondary (802.11n),Secondary (802.11ac),Secondary (802.11ax),Secondary (802.11be),Strongest secondary signal (dBm),Strongest secondary signal SSID,Strongest secondary signal BSSID,Airtime utilization (%; MA10),Associated clients (MA10),Lowest MBR
2.4GHz 1,12,,12,12,11,,1,,-62,GSU_tplink,30:de:4b:18:32:74,8,,8,8,7,,1,,-63,ZTZRybnik,04:f0:21:b6:e5:e3,4,4,,,,-62,GSU_tplink,30:de:4b:18:32:74,3,0,1
2.4GHz 2,12,,12,12,11,,1,,-62,GSU_tplink,30:de:4b:18:32:74,1,,1,1,1,,,,-62,GSU_tplink,30:de:4b:18:32:74,11,10,,1,,-63,ZTZRybnik,04:f0:21:b6:e5:e3,3,0,1
2.4GHz 3,16,,16,16,15,,2,,-62,GSU_tplink,30:de:4b:18:32:74,2,,2,2,2,,,,-72,rybnik.eu,cc:d5:39:7c:eb:a0,14,13,,2,,-62,GSU_tplink,30:de:4b:18:32:74,3,0,1
2.4GHz 4,14,,14,14,12,,2,,-37,ZTZRybnik,e4:8d:8c:2c:ab:32,,,,,,,,,,,,14,12,,2,,-37,ZTZRybnik,e4:8d:8c:2c:ab:32,3,0,1
2.4GHz 5,16,,16,16,14,,2,,-37,ZTZRybnik,e4:8d:8c:2c:ab:32,4,,4,4,4,,1,,-75,Maszt 5G Postrach Bombelkuf,c8:ea:f8:34:9f:bd,12,10,,1,,-37,ZTZRybnik,e4:8d:8c:2c:ab:32,3,0,1
2.4GHz 6,16,,16,16,14,,2,,-37,ZTZRybnik,e4:8d:8c:2c:ab:32,2,,2,2,,,,,-37,ZTZRybnik,e4:8d:8c:2c:ab:32,14,14,,2,,-43,Hot-spot Rybnik (1142),00:23:a7:4c:92:03,4,0,1
2.4GHz 7,16,,16,16,14,,2,,-37,ZTZRybnik,e4:8d:8c:2c:ab:32,3,,3,3,3,,,,-43,Hot-spot Rybnik (1142),00:23:a7:4c:92:03,13,11,,2,,-37,ZTZRybnik,e4:8d:8c:2c:ab:32,4,0,1
2.4GHz 8,11,,11,11,9,,1,,-37,ZTZRybnik,e4:8d:8c:2c:ab:32,2,,2,2,2,,,,-66,Funbox_Ricoh,d8:0d:17:ee:d0:e7,9,7,,1,,-37,ZTZRybnik,e4:8d:8c:2c:ab:32,4,0,1
2.4GHz 9,12,,12,12,12,,3,,-43,Hot-spot Rybnik (1142),00:23:a7:4c:92:03,,,,,,,,,,,,12,12,,3,,-43,Hot-spot Rybnik (1142),00:23:a7:4c:92:03,4,0,1
2.4GHz 10,9,,9,9,9,,3,,-66,Funbox_Ricoh,d8:0d:17:ee:d0:e7,,,,,,,,,,,,9,9,,3,,-66,Funbox_Ricoh,d8:0d:17:ee:d0:e7,3,0,1
2.4GHz 11,7,,7,7,7,,3,,-75,Maszt 5G Postrach Bombelkuf,c8:ea:f8:34:9f:bd,4,,4,4,4,,2,,-80,,fc:7f:f1:57:98:c2,3,3,,1,,-75,Maszt 5G Postrach Bombelkuf,c8:ea:f8:34:9f:bd,2,0,1
2.4GHz 12,4,,4,4,4,,2,,-80,,fc:7f:f1:57:98:c2,,,,,,,,,,,,4,4,,2,,-80,,fc:7f:f1:57:98:c2,2,0,1
2.4GHz 13,4,,4,4,4,,2,,-80,,fc:7f:f1:57:98:c2,,,,,,,,,,,,4,4,,2,,-80,,fc:7f:f1:57:98:c2,2,0,1
2.4GHz 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147483647
5GHz 36,7,7,,,7,7,2,,-67,HH71V1_F3E0_5G,dc:9b:d6:79:7e:b1,3,3,,,3,3,1,,-67,HH71V1_F3E0_5G,dc:9b:d6:79:7e:b1,4,4,4,1,,-76,Dom_24,2a:87:ba:2b:14:03,0,3,6
5GHz 40,7,7,,,7,7,2,,-67,HH71V1_F3E0_5G,dc:9b:d6:79:7e:b1,3,3,,,3,3,,,-76,Dom_24,2a:87:ba:2b:14:03,4,4,4,2,,-67,HH71V1_F3E0_5G,dc:9b:d6:79:7e:b1,0,3,6
