BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
14:A5:59:62:71:A4,,,-97,-127,10
74:78:82:56:C0:2F,,Apple,-91,12,10
57:BE:71:8A:1A:D8,,Apple,-95,8,10
62:B3:48:51:3E:3D,,Apple,-87,12,10
44:86:80:18:E1:01,,Apple,-95,12,10
5E:0D:76:36:4E:46,,Apple,-90,-127,10
F8:B6:DC:2A:14:F1,Buds Live,Samsung Electronics,-92,-127,10
4B:64:B3:1F:5D:00,,Apple,-95,24,10
74:9B:89:19:BD:1D,,Apple,-90,12,10
78:7F:62:79:06:92,,Apple,-84,-127,10
50:F5:24:E4:27:ED,,Apple,-97,17,10
E1:C1:9D:B9:21:2B,,Apple,-96,-127,10
64:F1:89:9D:90:E5,,Samsung Electronics,-92,-127,10
F4:17:B4:B6:AF:7F,,Apple,-90,-127,10
41:6B:31:6D:B3:1B,,Apple,-91,12,10
F4:05:8B:B8:EE:4F,Galaxy Watch (37A7) LE,,-93,-127,10
48:5F:04:73:A4:94,,Apple,-94,12,10
F6:10:34:3C:BC:1C,,Apple,-93,-127,10
C1:78:7D:83:8E:76,,Apple,-102,-127,10
F3:39:11:CF:4A:0B,,Apple,-100,-127,10
E6:01:99:74:1B:81,,,-96,-13,10
57:EF:80:0A:3F:FB,LE_WH-1000XM5,Amazon.com Services,-94,-127,10
7A:E3:A9:AA:78:59,,Apple,-89,-127,10
FD:ED:B5:F0:AB:4D,,Apple,-82,-127,10
65:53:DE:A7:F7:9F,,Apple,-85,-127,10
C1:4F:DF:85:D4:C9,,Apple,-97,-127,10
49:62:F8:DE:E3:05,,Apple,-90,12,10
E1:F8:3B:14:BE:C2,,Apple,-96,-127,10
7E:B2:D3:C4:57:22,,Google,-80,-127,10
A4:B6:1E:BA:05:FB,HUAWEI FreeBuds 3i,,-82,-127,10
75:9A:87:62:3B:CA,,Apple,-82,12,10
78:02:B7:20:44:7D,K11(ID-447D),Ericsson Technology Licensing,-96,-127,10
EC:4D:79:C5:FC:51,LE-MAJOR III VOICE,,-94,-15,10
5A:CC:B0:C5:DF:9C,,Apple,-96,-127,10
67:47:3C:6E:AF:4B,,Apple,-81,11,10
EE:CE:5C:82:9A:D7,,Apple,-93,-127,10
F8:96:C5:E3:A2:8B,Galaxy Buds Live (0AF8) LE,Samsung Electronics,-93,-127,10
C3:22:ED:A7:E5:B4,,Apple,-94,-127,10
6B:F4:00:2E:1F:1D,,Apple,-92,-127,10
56:64:D7:20:83:5D,,Apple,-91,12,10
44:CF:39:22:21:D8,,Apple,-100,12,10
DE:51:52:FE:3A:F4,,Apple,-94,-127,10
1C:52:16:76:51:07,QCY-APP,Quintic,-80,-127,10
24:36:B4:69:05:B2,,Microsoft,-95,-127,10
44:FF:58:73:9B:D7,,Google,-90,-127,10
4B:A5:A0:82:6E:2E,,Apple,-97,12,10
D1:0C:28:8E:5C:13,,Apple,-88,-127,10
5A:55:29:9C:A1:F4,,Apple,-72,12,10
64:4A:51:2C:4E:DC,,Google,-81,-127,10
68:3A:BF:EE:48:63,,Apple,-86,12,10
45:81:49:F5:F0:1C,,Apple,-88,11,10
B8:8E:82:96:D4:41,,,-87,-127,10
C8:CC:1A:29:B8:38,,Apple,-91,-127,10
C7:5E:AD:C2:F1:E1,JBL TUNE770NC-LE,Saris Cycling Group,-83,-127,10
7E:61:F7:1B:D8:48,,Apple,-93,17,10
46:5E:F6:30:8B:76,,Apple,-85,12,10
FC:DB:B2:99:DD:19,,Apple,-93,-127,10
5F:98:D2:68:E1:B6,,Apple,-88,12,10
60:0F:FA:98:80:37,,Apple,-93,8,10
F7:EB:61:05:61:78,,Apple,-82,-127,10
E3:FC:74:73:22:CE,,Apple,-98,-127,10
6E:61:90:BF:01:9D,,Apple,-93,7,10
61:0D:8C:3C:49:6C,,Apple,-95,-127,10
E8:EE:CC:2E:89:C9,,,-86,-127,10
45:BF:0A:63:AA:5C,,Apple,-92,5,10
75:76:98:B3:FF:B4,,,-93,-127,10
C1:5E:8C:D4:C3:AF,,,-88,-15,10
5E:BF:3E:97:17:15,,Apple,-78,-127,10
6B:F1:53:CC:9D:BC,OPPO Enco Air3 Pro,,-87,-12,10
C6:FF:A0:14:FF:81,,Apple,-85,-127,10
44:CD:8F:CC:A6:0B,,Apple,-89,9,10
45:C3:F6:28:E3:6D,,,-83,-7,10
