BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
5E:2B:C9:3D:A9:8E,,Apple,-46,-127,10
67:A6:68:B6:98:3F,,Apple,-58,12,10
C4:EF:04:97:32:76,,Apple,-73,-127,10
EA:1A:B9:FE:1D:44,,Apple,-84,-127,10
71:2C:CB:D5:E8:0E,JBL BAR 500_6797,Google,-92,-127,10
7D:EC:0C:6C:91:B3,,Apple,-85,5,10
48:1D:E1:19:EB:AC,,Apple,-70,12,10
75:0A:11:20:1C:00,,Apple,-78,12,10
77:64:4A:A5:A9:5A,,Apple,-98,-127,10
7D:A2:2F:FB:95:2A,JBL TUNE BUDS-LE,,-58,-11,10
4A:8E:03:09:19:8C,,Apple,-73,-127,10
6B:59:5C:A6:B2:DA,,,-91,-127,10
46:B1:6A:38:1F:0D,,,-82,-127,10
6A:1D:45:97:33:6B,,,-78,-127,10
75:11:D9:1A:34:FD,,Apple,-73,12,10
F2:2D:F3:54:A3:7B,,Apple,-98,-127,10
6E:A5:41:0E:F0:A1,,Apple,-96,-127,10
7A:C9:29:E0:5D:75,,,-92,-127,10
5A:4A:D6:C9:D6:8E,,Apple,-81,8,10
E3:25:95:8C:CC:48,,Apple,-60,-127,10
E5:7A:DB:69:89:90,,Apple,-78,-127,10
9C:8C:6E:59:B5:79,,Samsung Electronics,-96,-127,10
66:3E:58:6B:F0:3E,,,-84,-127,10
61:67:ED:24:47:63,,Apple,-90,-127,10
7D:C0:82:28:F1:FC,,Google,-72,-127,10
EC:FC:99:1D:67:83,,Apple,-103,-127,10
70:92:F6:6B:BD:AD,,Apple,-60,-127,10
59:BC:83:D4:7C:B5,,Google,-79,-127,10
F3:85:8F:5A:A0:53,,Apple,-80,-127,10
D7:7D:55:AF:6C:72,,Apple,-46,-127,10
57:BC:B2:1A:08:4D,,Apple,-92,12,10
2C:BE:EB:4B:1B:58,,,-79,-127,10
78:0D:EF:EC:84:C2,,,-78,-127,10
54:02:B0:E3:96:BA,JBL TUNE230NC TWS-LE,,-56,-11,10
66:58:C6:7B:63:82,,Google,-93,-127,10
7F:38:0E:0D:D5:C8,,Google,-91,-127,10
FC:6A:6C:E3:73:C2,,Apple,-71,-127,10
E5:E4:55:71:A9:33,,Apple,-93,-127,10
48:E3:48:CE:EF:44,,Apple,-47,12,10
3B:31:1D:48:B3:CD,,,-96,-127,10
C4:D3:6A:A3:36:11,BLE42,MetaSystem,-95,0,10
6D:C0:BA:79:10:C2,,Google,-78,-127,10
5F:D0:52:EC:45:E0,,Google,-75,-127,10
71:F5:5C:E3:1E:F7,,Apple,-79,12,10
