BSSID,AP Name (from app),AP Location (from app),Notes (from app),AP Name (from AP),SSID,Seen,Manufacturer,Device,Channel width maximum (MHz),Phy speed maximum (Mbps),Phy technologies,Basic rates,Additional rates,Supported HT MCS,Supported VHT MCS,Supported HE MCS,Supported EHT MCS,SU-MIMO,MU-MIMO,Security,Capabilities,BSS Transition (802.11v),FT (802.11r) Responder,FT (802.11r) over the DS,RM (802.11k),MFP (802.11w) Required,MFP (802.11w) Capable,FTM (802.11mc) Responder,FTM (802.11mc) Initiator,MLO (802.11be) AP MLD,Frequency band,Channel width (MHz),Frequency from (MHz),Frequency to (MHz),Frequency primary (MHz),Primary channel,Channels used,rssi (dBm),Reported channel utilization (%),Reported stations
6e:3a:0e:83:39:3b,,,,,,1718103434800,,,80,866.7,"[""AC867"",""N300"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]","[0,1,2,3,4,5,6,7,8,9]",,,2x2,2x2,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,,,true,,,,,,U-NII-1,80,,,5180,36,,-69,14.9,8
70:3a:0e:c4:6a:90,,,,,17230h,1718103434951,Hewlett Packard Enterprise,,20,144.4,"[""N144"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA2/WPA3-Enterprise,[RSN-EAP-CCMP][ESS],true,,,true,,,,,,U-NII-1,20,,,5220,44,,-76,9.8,2
00:27:e3:3e:0b:3a,,,,,Carrefour_WiFi_Spot,1718103435357,"Cisco Systems, Inc",,80,1300,"[""AC1300"",""N450"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[0,1,2,3,4,5,6,7,8,9]",,,3x3,,No Security,[ESS],true,,,true,,,,,,U-NII-2C,40,,,5500,100,,-72,13.7,28
70:3a:0e:c4:8d:11,,,,,wifi380A,1718103435022,Hewlett Packard Enterprise,,20,144.4,"[""N144"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA2/WPA3-Enterprise,[RSN-EAP+FT/EAP-CCMP][ESS],true,0x9C27,false,true,,,,,,U-NII-1,20,,,5240,48,,-88,2,0
70:3a:0e:c4:8d:10,,,,,17230h,1718103435022,Hewlett Packard Enterprise,,20,144.4,"[""N144"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA2/WPA3-Enterprise,[RSN-EAP-CCMP][ESS],true,,,true,,,,,,U-NII-1,20,,,5240,48,,-88,2,2
70:3a:0e:c4:6a:91,,,,,wifi380A,1718103434951,Hewlett Packard Enterprise,,20,144.4,"[""N144"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA2/WPA3-Enterprise,[RSN-EAP+FT/EAP-CCMP][ESS],true,0x9C27,false,true,,,,,,U-NII-1,20,,,5220,44,,-76,9.8,0
ce:2d:e0:79:53:65,,,,CC2DE0795364,Wrotki,1718103434045,,,40,300,"[""N300"",""g54""]",6,"[9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA2-Personal,[RSN-PSK-CCMP][ESS],,,,,,,,,,2.4GHz,40,,,2452,9,,-69,,
00:27:e3:9d:8c:01,,,,PL-N138AP-08-13,,1718103433385,"Cisco Systems, Inc",,20,216.7,"[""N217"",""g54"",""b11""]",11,"[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]",,,,3x3,,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,0xAC34,true,true,,,,,,2.4GHz,20,,,2412,1,,-81,49.4,3
00:27:e3:9d:8c:05,,,,,Carrefour_WiFi_Spot,1718103433373,"Cisco Systems, Inc",,20,216.7,"[""N217"",""g54"",""b11""]",11,"[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]",,,,3x3,,No Security,[ESS],true,,,true,,,,,,2.4GHz,20,,,2412,1,,-79,49.4,3
00:27:e3:9d:8c:04,,,,,WLAN60,1718103433370,"Cisco Systems, Inc",,20,216.7,"[""N217"",""g54"",""b11""]",11,"[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]",,,,3x3,,WPA2/WPA3-Enterprise,[RSN-EAP-CCMP][ESS],true,,,true,,,,,,2.4GHz,20,,,2412,1,,-79,49.4,3
00:27:e3:9d:8c:03,,,,PL-N138AP-08-13,,1718103433409,"Cisco Systems, Inc",,20,216.7,"[""N217"",""g54"",""b11""]",11,"[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]",,,,3x3,,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,,,true,,,,,,2.4GHz,20,,,2412,1,,-81,49.4,3
6e:3a:1e:83:39:3b,,,,,,1718103434267,,,20,144.4,"[""N144"",""g54"",""b11""]","[2,5.5,11]","[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,,,true,,,,,,2.4GHz,20,,,2462,11,,-79,13.7,0
00:27:e3:3e:0b:33,,,,PL-N138AP-18-12,,1718103433379,"Cisco Systems, Inc",,20,216.7,"[""N217"",""g54"",""b11""]",11,"[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]",,,,3x3,,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,,,true,,,,,,2.4GHz,20,,,2412,1,,-72,64.7,8
00:27:e3:3e:0b:35,,,,,Carrefour_WiFi_Spot,1718103433392,"Cisco Systems, Inc",,20,216.7,"[""N217"",""g54"",""b11""]",11,"[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]",,,,3x3,,No Security,[ESS],true,,,true,,,,,,2.4GHz,20,,,2412,1,,-72,64.7,8
00:27:e3:3e:0b:34,,,,,WLAN60,1718103433422,"Cisco Systems, Inc",,20,216.7,"[""N217"",""g54"",""b11""]",11,"[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]",,,,3x3,,WPA2/WPA3-Enterprise,[RSN-EAP-CCMP][ESS],true,,,true,,,,,,2.4GHz,20,,,2412,1,,-72,64.7,8
70:3a:0e:c4:6a:81,,,,,wifi380A,1718103433398,Hewlett Packard Enterprise,,20,144.4,"[""N144"",""g54"",""b11""]","[1,2]","[5.5,6,9,11,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA2/WPA3-Enterprise,[RSN-EAP+FT/EAP-CCMP][ESS],true,0x9C27,false,true,,,,,,2.4GHz,20,,,2412,1,,-81,23.9,0
00:27:e3:3e:0b:31,,,,PL-N138AP-18-12,,1718103433361,"Cisco Systems, Inc",,20,216.7,"[""N217"",""g54"",""b11""]",11,"[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]",,,,3x3,,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,0xAC34,true,true,,,,,,2.4GHz,20,,,2412,1,,-73,64.7,8
00:27:e3:3e:0b:30,,,,,,1718103433409,"Cisco Systems, Inc",,20,216.7,"[""N217"",""g54"",""b11""]",11,"[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]",,,,3x3,,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,0xAC34,true,true,,,,,,2.4GHz,20,,,2412,1,,-73,64.7,8
4c:a6:4d:61:1f:c2,,,,,WIFI1,1718103433804,"Cisco Systems, Inc",,20,144.4,"[""N144"",""g54""]",12,"[18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,0xAC34,false,true,,,,,,2.4GHz,20,,,2437,6,,-83,70.6,0
4c:a6:4d:61:1f:c1,,,,,WIFI5,1718103433788,"Cisco Systems, Inc",,20,144.4,"[""N144"",""g54""]",12,"[18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,0xAC34,false,true,,,,,,2.4GHz,20,,,2437,6,,-81,70.6,0
4c:a6:4d:61:1f:c4,,,,,WIFI4,1718103433789,"Cisco Systems, Inc",,20,144.4,"[""N144"",""g54""]",12,"[18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,0xAC34,false,true,,,,,,2.4GHz,20,,,2437,6,,-83,70.6,0
