BSSID,AP Name (from app),AP Location (from app),Notes (from app),AP Name (from AP),SSID,Seen,Manufacturer,Device,Channel width maximum (MHz),Phy speed maximum (Mbps),Phy technologies,Basic rates,Additional rates,Supported HT MCS,Supported VHT MCS,Supported HE MCS,Supported EHT MCS,SU-MIMO,MU-MIMO,Security,Capabilities,BSS Transition (802.11v),FT (802.11r) Responder,FT (802.11r) over the DS,RM (802.11k),MFP (802.11w) Required,MFP (802.11w) Capable,FTM (802.11mc) Responder,FTM (802.11mc) Initiator,MLO (802.11be) AP MLD,Frequency band,Channel width (MHz),Frequency from (MHz),Frequency to (MHz),Frequency primary (MHz),Primary channel,Channels used,rssi (dBm),Reported channel utilization (%),Reported stations
ce:89:5e:dd:0b:6c,,,,,NETIASPOT-xB3T,1718134315800,huaweitec,huawei_ONT,20,144.4,"[""N144"",""g54"",""b11""]","[1,2,5.5,11]","[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA2-Personal,[RSN-PSK-CCMP][ESS][WPS],true,,,true,,,,,,2.4GHz,20,,,2447,8,,-85,18.8,0
34:0a:33:b1:0d:cc,,,,,dlink-0DCB,1718134315801,D-Link International,,20,144.4,"[""N144"",""g54"",""b11""]","[1,2,5.5,11]","[9,18,36,54,6,12,24,48]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA/WPA2-Personal,[WPA-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS],true,,,true,,,,,,2.4GHz,20,,,2412,1,,-83,12.2,1
34:2c:c4:c5:8e:ae,,,,,UPC4056381,1718134315800,"Ralink Technology, Corp.",RalinkAPS,20,144.4,"[""N144"",""g54"",""b11""]","[1,2,5.5,11]","[9,18,36,54,6,12,24,48]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA2-Personal,[RSN-PSK-CCMP][ESS][WPS],true,,,true,,,,,,2.4GHz,20,,,2437,6,,-78,31,3
8c:5b:f0:f6:22:4b,,,,,UPC247025073,1718134315801,Broadcom,BroadcomAP,20,144.4,"[""N144"",""g54"",""b11""]","[1,2,5.5,11]","[18,24,36,54,6,9,12,48]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA2-Personal,[RSN-PSK-CCMP+TKIP][ESS][WPS],true,,,true,,,,,,2.4GHz,20,,,2462,11,,-79,11.8,0
88:89:2f:fb:ca:88,,,,,NETIASPOT-2.4GHz-k7BX,1718134315801,huaweitec,huawei_ONT,20,144.4,"[""N144"",""g54"",""b11""]","[1,2,5.5,11]","[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA2-Personal,[RSN-PSK-CCMP][ESS][WPS],true,,,true,,,,,,2.4GHz,20,,,2432,5,,-67,13.3,1
58:d5:6e:d6:ee:a3,,,,,DIR-825-20,1718134315800,D-Link International,,40,300,"[""N300"",""g54"",""b11""]","[1,2,5.5,11]","[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA2-Personal,[RSN-PSK-CCMP][ESS],,,,,,,,,,2.4GHz,40,,,2412,1,,-61,,
10:5a:f7:af:7d:1c,,,,,NETIASPOT-2.4GHz-AF7D19,1718134315801,Advanced Digital Broadcast SA,VV5822,20,144.4,"[""N144"",""g54"",""b11""]","[1,2,5.5,11]","[18,24,36,54,6,9,12,48]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA2-Personal,[RSN-PSK-CCMP][ESS][WPS],true,,,,,,,,,2.4GHz,20,,,2412,1,,-62,20.4,1
bc:0f:9a:9f:59:a4,,,,,UPC4056381,1718134315800,D-Link International,,20,144.4,"[""N144"",""g54"",""b11""]","[1,2,5.5,11]","[9,18,36,54,6,12,24,48]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,32]",,,,2x2,,WPA2-Personal,[RSN-PSK+FT/PSK-CCMP][ESS],true,0x5254,true,true,,,,,,2.4GHz,20,,,2437,6,,-57,11.8,0
c0:06:c3:29:35:0e,,,,,dom_24,1718134315801,TP-Link,Whole-home Wi-Fi,40,300,"[""N300"",""g54"",""b11""]","[1,2,5.5,11]","[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA2-Personal,[RSN-PSK-CCMP][ESS][WPS],true,,,true,,,,,,2.4GHz,40,,,2457,10,,-43,,
c6:06:c3:29:35:0e,,,,,,1718134315801,,,40,300,"[""N300"",""g54"",""b11""]","[1,2,5.5,11]","[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,,,true,,,,,,2.4GHz,40,,,2457,10,,-38,,
