Channel #,Signals,Signals (802.11a),Signals (802.11b),Signals (802.11g),Signals (802.11n),Signals (802.11ac),Signals (802.11ax),Signals (802.11be),Strongest signal (dBm),Strongest signal SSID,Strongest signal BSSID,Beacons,Beacons (802.11a),Beacons (802.11b),Beacons (802.11g),Beacons (802.11n),Beacons (802.11ac),Beacons (802.11ax),Beacons (802.11be),Strongest beacon (dBm),Strongest beacon SSID,Strongest beacon BSSID,Secondary (non beacon) signals,Secondary (802.11n),Secondary (802.11ac),Secondary (802.11ax),Secondary (802.11be),Strongest secondary signal (dBm),Strongest secondary signal SSID,Strongest secondary signal BSSID,Highest reported channel load (%),Reported stations,Lowest MBR
2.4GHz 1,24,,19,24,24,,,,-72,,00:27:e3:3e:0b:33,24,,19,24,24,,,,-72,,00:27:e3:3e:0b:33,,,,,,,,,65,100,1
2.4GHz 2,25,,20,25,25,,,,-66,ZyXELCD1826,08:26:97:cd:18:27,,,,,,,,,,,,25,25,,,,-66,ZyXELCD1826,08:26:97:cd:18:27,65,99,1
2.4GHz 3,25,,20,25,25,,,,-66,ZyXELCD1826,08:26:97:cd:18:27,,,,,,,,,,,,25,25,,,,-66,ZyXELCD1826,08:26:97:cd:18:27,65,99,1
2.4GHz 4,15,,14,15,15,,1,,-42,,00:27:e3:4d:7b:80,1,,1,1,1,,,,-66,ZyXELCD1826,08:26:97:cd:18:27,14,14,,1,,-42,,00:27:e3:4d:7b:80,71,35,1
2.4GHz 5,16,,15,16,16,,1,,-42,,00:27:e3:4d:7b:80,,,,,,,,,,,,16,16,,1,,-42,,00:27:e3:4d:7b:80,71,35,1
2.4GHz 6,16,,15,16,16,,1,,-42,,00:27:e3:4d:7b:80,14,,13,14,14,,1,,-42,,00:27:e3:4d:7b:80,2,2,,,,-66,ZyXELCD1826,08:26:97:cd:18:27,71,36,1
2.4GHz 7,19,,15,19,19,,1,,-42,,00:27:e3:4d:7b:80,1,,1,1,1,,,,-76,MANSO,d4:72:26:a6:0b:76,18,18,,1,,-42,,00:27:e3:4d:7b:80,71,35,1
2.4GHz 8,19,,15,19,19,,1,,-42,,00:27:e3:4d:7b:80,,,,,,,,,,,,19,19,,1,,-42,,00:27:e3:4d:7b:80,71,35,1
2.4GHz 9,16,,13,16,15,,,,-52,HALONG,08:63:61:21:1f:e6,4,,1,4,4,,,,-52,HALONG,08:63:61:21:1f:e6,12,11,,,,-68,,00:a3:8e:be:8e:13,72,10,1
2.4GHz 10,16,,13,16,15,,,,-52,HALONG,08:63:61:21:1f:e6,,,,,,,,,,,,16,15,,,,-52,HALONG,08:63:61:21:1f:e6,72,10,1
2.4GHz 11,16,,13,16,15,,,,-52,HALONG,08:63:61:21:1f:e6,11,,11,11,10,,,,-68,,00:a3:8e:be:8e:13,5,5,,,,-52,HALONG,08:63:61:21:1f:e6,72,11,1
2.4GHz 12,15,,12,15,14,,,,-68,,00:a3:8e:be:8e:13,1,,1,1,1,,,,-80,wifi380A,70:3a:0e:c4:8d:01,14,13,,,,-68,,00:a3:8e:be:8e:13,72,11,1
2.4GHz 13,15,,12,15,14,,,,-68,,00:a3:8e:be:8e:13,,,,,,,,,,,,15,14,,,,-68,,00:a3:8e:be:8e:13,72,10,1
2.4GHz 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
5GHz 36,15,15,,,15,15,,,-53,FunBox2-6611,d8:7d:7f:55:66:12,15,15,,,15,15,,,-53,FunBox2-6611,d8:7d:7f:55:66:12,,,,,,,,,18,96,6
5GHz 40,11,11,,,11,11,,,-53,FunBox2-6611,d8:7d:7f:55:66:12,,,,,,,,,,,,11,11,11,,,-53,FunBox2-6611,d8:7d:7f:55:66:12,18,95,6
5GHz 44,13,13,,,13,11,,,-53,FunBox2-6611,d8:7d:7f:55:66:12,7,7,,,7,5,,,-75,WLAN60,70:ea:1a:45:be:fb,6,6,6,,,-53,FunBox2-6611,d8:7d:7f:55:66:12,15,23,6
5GHz 48,11,11,,,11,11,,,-53,FunBox2-6611,d8:7d:7f:55:66:12,,,,,,,,,,,,11,11,11,,,-53,FunBox2-6611,d8:7d:7f:55:66:12,15,20,6
5GHz 52,5,5,,,5,5,,,-73,WIFI3,4c:a6:4d:61:cb:6f,5,5,,,5,5,,,-73,WIFI3,4c:a6:4d:61:cb:6f,,,,,,,,,9,0,6
5GHz 56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
5GHz 60,5,5,,,5,5,,,-72,,00:a3:8e:be:8e:1c,5,5,,,5,5,,,-72,,00:a3:8e:be:8e:1c,,,,,,,,,2,30,6
5GHz 64,5,5,,,5,5,,,-72,,00:a3:8e:be:8e:1c,,,,,,,,,,,,5,5,5,,,-72,,00:a3:8e:be:8e:1c,2,29,6
5GHz 100,10,10,,,10,10,,,-70,,00:27:e3:3e:0b:3c,10,10,,,10,10,,,-70,,00:27:e3:3e:0b:3c,,,,,,,,,15,142,6
5GHz 104,5,5,,,5,5,,,-70,,00:27:e3:3e:0b:3c,,,,,,,,,,,,5,5,5,,,-70,,00:27:e3:3e:0b:3c,15,141,6
5GHz 108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
5GHz 112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
5GHz 116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
5GHz 120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
5GHz 124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
5GHz 128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
5GHz 132,5,5,,,5,5,,,-76,,00:27:e3:df:14:3e,5,5,,,5,5,,,-76,,00:27:e3:df:14:3e,,,,,,,,,4,15,6
5GHz 136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
5GHz 140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
5GHz 144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
5GHz 149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
5GHz 153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
5GHz 157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
5GHz 161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
5GHz 165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2147483647
