Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,,146.010000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,SP9RYC,,,,
1,,446.006250,,0.000000,DTCS,88.5,88.5,023,NN,NFM,5.00,S,SP9RYC,,,,
2,,446.018750,,0.000000,DTCS,88.5,88.5,023,NN,NFM,5.00,S,SP9RYC,,,,
3,,446.031250,,0.000000,DTCS,88.5,88.5,023,NN,NFM,5.00,S,SP9RYC,,,,
4,,446.043750,,0.000000,DTCS,88.5,88.5,023,NN,NFM,5.00,S,SP9RYC,,,,
5,,446.056250,,0.000000,DTCS,88.5,88.5,023,NN,NFM,5.00,S,SP9RYC,,,,
6,,446.068750,,0.000000,DTCS,88.5,88.5,023,NN,NFM,5.00,S,SP9RYC,,,,
7,,446.081250,,0.000000,DTCS,88.5,88.5,023,NN,NFM,5.00,S,SP9RYC,,,,
8,,446.093750,,0.000000,DTCS,88.5,88.5,023,NN,NFM,5.00,S,SP9RYC,,,,
9,,446.006250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,SP9RYC,,,,
10,,446.018750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,SP9RYC,,,,
11,,446.031250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,SP9RYC,,,,
12,,446.043750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,SP9RYC,,,,
13,,446.056250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,SP9RYC,,,,
14,,446.068750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,SP9RYC,,,,
15,,446.081250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,SP9RYC,,,,
16,,446.093750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,SP9RYC,,,,
