Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,,146.010000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,SP9792466,,,,
1,,446.006250,,0.000000,DTCS,88.5,88.5,023,NN,NFM,5.00,S,SP9792466,,,,
2,,446.018750,,0.000000,DTCS,88.5,88.5,023,NN,NFM,5.00,S,SP9792466,,,,
3,,446.031250,,0.000000,DTCS,88.5,88.5,023,NN,NFM,5.00,S,SP9792466,,,,
4,,446.043750,,0.000000,DTCS,88.5,88.5,023,NN,NFM,5.00,S,SP9792466,,,,
5,,446.056250,,0.000000,DTCS,88.5,88.5,023,NN,NFM,5.00,S,SP9792466,,,,
6,,446.068750,,0.000000,DTCS,88.5,88.5,023,NN,NFM,5.00,S,SP9792466,,,,
7,,446.081250,,0.000000,DTCS,88.5,88.5,023,NN,NFM,5.00,S,SP9792466,,,,
8,,446.093750,,0.000000,DTCS,88.5,88.5,023,NN,NFM,5.00,S,SP9792466,,,,
9,,446.006250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,SP9792466,,,,
10,,446.018750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,SP9792466,,,,
11,,446.031250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,SP9792466,,,,
12,,446.043750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,SP9792466,,,,
13,,446.056250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,SP9792466,,,,
14,,446.068750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,SP9792466,,,,
15,,446.081250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,SP9792466,,,,
16,,446.093750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,SP9792466,,,,
