BT Addresses,Bluetooth Names,Manufacturers,RSSI,Tx Power,Bond State
4C:B2:01:FA:88:59,,Apple,,-127,0
F8:4E:9E:12:0B:D1,,Apple,,-127,0
62:42:32:C8:B5:13,,Apple,-96,-127,10
77:2F:C2:03:6D:3E,,Apple,-98,8,10
76:22:6C:3B:DA:81,,Apple,-76,-127,10
4F:4E:EE:59:DF:8B,,Apple,-96,11,10
B2:07:65:2D:E6:E7,LW107-E6E7,,-80,-127,10
E7:86:76:E1:7A:EE,,Apple,-65,-127,10
5D:9D:F7:14:2A:8E,,Apple,-81,12,10
EC:0D:48:91:43:3A,,Apple,-95,-127,10
5B:83:68:A8:16:03,,Apple,,-127,0
CE:CF:28:71:08:17,,Apple,-94,-127,10
E2:5F:C5:CA:E1:2A,,Apple,-74,-127,10
