# ----------------------------------------
# RYCHoo.TheUnixPlace.com
# Szczegóły związane z technologią: Przeglądarka-Karta 3
# 20240727-20240926 20240727-20240727
# ----------------------------------------

Przeglądarka,Porównanie dat,Aktywni użytkownicy,Nowi użytkownicy,Sesje z zaangażowaniem,Współczynnik zaangażowania,Sesje z zaangażowaniem na aktywnego użytkownika,Liczba zdarzeń,Kluczowe zdarzenia,Łączne przychody
,Zmiana (%),-,-,-,-,-,-,0%,0%,Suma całkowita
,27 lip–26 wrz 2024,47,38,131,0.6064814814814815,2.7872340425531914,1057,0,0
,27 lip–27 lip 2024,0,0,0,0,0,0,0,0
Chrome,Zmiana (%),-,-,-,-,-,-,0%,0%
,27 lip–26 wrz 2024,22,15,31,0.543859649122807,1.4090909090909092,263,0,0
,27 lip–27 lip 2024,0,0,0,0,0,0,0,0
Edge,Zmiana (%),-,-,-,-,-,-,0%,0%
,27 lip–26 wrz 2024,21,16,96,0.6357615894039735,4.571428571428571,732,0,0
,27 lip–27 lip 2024,0,0,0,0,0,0,0,0
Firefox,Zmiana (%),-,-,-,-,-,-,0%,0%
,27 lip–26 wrz 2024,5,5,3,0.6,0.6,54,0,0
,27 lip–27 lip 2024,0,0,0,0,0,0,0,0
Safari (in-app),Zmiana (%),-,-,-,-,-,-,0%,0%
,27 lip–26 wrz 2024,2,1,1,0.5,0.5,5,0,0
,27 lip–27 lip 2024,0,0,0,0,0,0,0,0
Safari,Zmiana (%),-,-,0%,0%,0%,-,0%,0%
,27 lip–26 wrz 2024,1,1,0,0,0,3,0,0
,27 lip–27 lip 2024,0,0,0,0,0,0,0,0

